wf,rr_target,fill_model,n_signals,filled_n,fill_rate_per_signal,miss_target_before_fill_rate,stop_invalid_before_fill_rate,expired_rate,ambiguity_rate,median_bars_to_fill,median_actual_RR,mean_actual_RR,filled_win_rate,filled_profit_factor,E_R_lower_filled,E_R_upper_filled,EV_R_lower_per_signal,EV_R_upper_per_signal,censor_worst_EV_per_signal,delta_EV_vs_E1_market,cost_R,net_EV_per_signal
WF1,3.0,TOUCH_FILL,3160,910,0.2879746835443038,0.15253164556962026,0.0,0.2759493670886076,0.04715189873417722,0.0,3.0,3.666660596054551,0.2850521436848204,1.3535739016654518,0.25278690304470885,0.2859271116194481,0.029163005483412573,0.09327692953404548,0.014289587761893586,-0.012858735552031084,0.05,0.014764271306197382
WF2,3.0,TOUCH_FILL,2847,840,0.2950474183350896,0.17597471022128555,0.0,0.25851773796979277,0.0593607305936073,0.0,3.0,3.9080221164363858,0.2709599027946537,1.290528679627544,0.21180705683660542,0.21666732415130777,0.00467762830225721,0.07000955664788419,-0.0012935694497624595,-0.04284128060844796,0.05,-0.010074742614497268
WF3,3.0,TOUCH_FILL,3008,906,0.3011968085106383,0.14627659574468085,0.0,0.32413563829787234,0.04222074468085106,0.0,3.0,3.8868394273636917,0.30192962542565266,1.5369728792585822,0.3748448589603041,0.38392544919866955,0.0688957183324561,0.11444093109841354,0.060584548119690135,-0.007479082985180033,0.05,0.053835877906924186
WF1,3.0,STRICT_TRADE_THROUGH,3160,859,0.2718354430379747,0.1550632911392405,0.0,0.2908227848101266,0.04588607594936709,0.0,3.0,3.7062411436666367,0.2684729064039409,1.2645708709218582,0.19354076025564498,0.22876243513249225,0.008909840926450545,0.06732756244543789,-0.0059635767950684425,-0.03311190010899311,0.05,-0.00468193122544819
WF2,3.0,STRICT_TRADE_THROUGH,2847,756,0.2655426765015806,0.17667720407446436,0.0,0.2813487881981033,0.06533192834562697,0.0,3.0,4.0089134627070955,0.26450742240215924,1.2721416656450026,0.20015817513701253,0.20555628579828109,-0.010777236467676055,0.05982339577679181,-0.01604594036651694,-0.05829614537838122,0.05,-0.024054370292755083
WF3,3.0,STRICT_TRADE_THROUGH,3008,871,0.28956117021276595,0.14760638297872342,0.0,0.3351063829787234,0.041555851063829786,0.0,3.0,3.9224759141119456,0.30260047281323876,1.5512513910915728,0.38444245950830724,0.39389872428372097,0.0672334842899029,0.11078401620479653,0.058922314077136946,-0.009141317027733228,0.05,0.052755425779264606
WF1,0.25,TOUCH_FILL,3160,2282,0.7221518987341772,0.009810126582278481,0.0,0.0,0.03196202531645569,0.0,1.0,1.5861421314915547,0.5146654445462878,1.1077743014620054,0.05230659268939678,0.060830882331926316,0.036118033306412584,0.04936170419248835,0.0044724636861594195,-0.005903707729031073,0.1,-0.03609715656700514
WF2,0.25,TOUCH_FILL,2847,2149,0.7548296452406041,0.01053740779768177,0.0,0.0,0.02423603793466807,0.0,1.0,1.6227834395036762,0.5147058823529411,1.1228146783588326,0.05960124096825706,0.061892916797591055,0.04413045871481766,0.05162285514904178,0.029729334724652577,-0.003388450195887509,0.1,-0.03135250580924276
WF3,0.25,TOUCH_FILL,3008,2364,0.785904255319149,0.005319148936170213,0.0,0.0,0.025930851063829786,0.0,0.8571428571428571,1.5675910223174871,0.5397175639894086,1.2129083904389422,0.09799799259833031,0.10853050215996611,0.0734918388390347,0.08716094344896383,0.04091205160499216,-0.002882962478601425,0.1,-0.0050985866928802
WF1,0.25,STRICT_TRADE_THROUGH,3160,2282,0.7221518987341772,0.01170886075949367,0.0,0.0,0.030063291139240507,0.0,1.0,1.5861421314915547,0.5146654445462878,1.1077743014620054,0.05230659268939678,0.060830882331926316,0.036118033306412584,0.04888702064818455,0.0044724636861594195,-0.005903707729031073,0.1,-0.03609715656700514
WF2,0.25,STRICT_TRADE_THROUGH,2847,2149,0.7548296452406041,0.01053740779768177,0.0,0.0,0.02423603793466807,0.0,1.0,1.6227834395036762,0.5147058823529411,1.1228146783588326,0.05960124096825706,0.061892916797591055,0.04413045871481766,0.05162285514904178,0.029729334724652577,-0.003388450195887509,0.1,-0.03135250580924276
WF3,0.25,STRICT_TRADE_THROUGH,3008,2364,0.785904255319149,0.006316489361702127,0.0,0.0,0.024933510638297872,0.0,0.8571428571428571,1.5675910223174871,0.5397175639894086,1.2129083904389422,0.09799799259833031,0.10853050215996611,0.0734918388390347,0.08691160834258085,0.04091205160499216,-0.002882962478601425,0.1,-0.0050985866928802
WF1,0.5,TOUCH_FILL,3160,2159,0.6832278481012658,0.04810126582278481,0.0,0.0012658227848101266,0.03132911392405063,0.0,1.0000000000003233,1.6739091016595198,0.48712967459932005,1.0926652701890454,0.047525267275197666,0.05655877868850483,0.030333710544187344,0.050934976366971974,-0.0013118590760658217,-0.011688030491256312,0.1,-0.03798907426593924
WF2,0.5,TOUCH_FILL,2847,2002,0.7031963470319634,0.045310853530031614,0.0,0.002107481559536354,0.03898840885142255,0.0,1.0057471264367817,1.7356254085353573,0.4864864864864865,1.1209731261634155,0.062121335056888986,0.06471228490300635,0.03892516264368083,0.061608988652896185,0.02452403865351574,-0.00859374626702434,0.1,-0.03139447205951551
WF3,0.5,TOUCH_FILL,3008,2198,0.730718085106383,0.04853723404255319,0.0,0.011968085106382979,0.025930851063829786,0.0,0.9090909090909091,1.6829082621026024,0.5047619047619047,1.1942821538061046,0.0962159237896898,0.10758100315476922,0.06584223402870631,0.08541226948969925,0.03326244679466375,-0.010532567288929817,0.1,-0.007229574481931997
WF1,0.5,STRICT_TRADE_THROUGH,3160,2150,0.680379746835443,0.05569620253164557,0.0,0.0018987341772151898,0.025949367088607594,0.0,1.0512820512820513,1.67882313975949,0.4848780487804878,1.0884039065526818,0.04553879283884489,0.054611963570551945,0.02890965991127595,0.04682105231633906,-0.002735909708977214,-0.013112081124167705,0.1,-0.03912831477226836
WF2,0.5,STRICT_TRADE_THROUGH,2847,1997,0.7014401123990165,0.05233579206181946,0.0,0.002107481559536354,0.03371970495258166,0.0,1.0057471264367817,1.7387191126128116,0.48517382413087934,1.1184905045149547,0.06100201331623689,0.06359958624478293,0.038047045327207346,0.05809651938700226,0.02364592133704226,-0.009471863583497823,0.1,-0.0320969659126943
WF3,0.5,STRICT_TRADE_THROUGH,3008,2194,0.7293882978723404,0.0511968085106383,0.0,0.011968085106382979,0.024601063829787235,0.0,0.9090909090909091,1.6850648860991433,0.5038167938931297,1.1923590768830277,0.09544534349157852,0.10683211193941575,0.06517734041168503,0.0840824822556567,0.03259755317764248,-0.011197460905951098,0.1,-0.007761489375549005
WF1,0.75,TOUCH_FILL,3160,2023,0.6401898734177215,0.07531645569620253,0.0,0.012974683544303797,0.035443037974683546,0.0,1.117655506687016,1.799092939283043,0.4581383255330213,1.103993562872087,0.056350126111655977,0.06615251820733961,0.031126991301491908,0.06256686471921331,-0.000518578318761257,-0.010894749733951749,0.1,-0.032891996040280244
WF2,0.75,TOUCH_FILL,2847,1861,0.6536705303828592,0.08956796628029505,0.0,0.012996136283807516,0.033368458025992274,0.0,1.1578947368421053,1.8788534532108132,0.4554945054945055,1.127700408061191,0.06953357383991218,0.07249008628399795,0.03707450101462597,0.06504459326901167,0.022673377024460886,-0.0104444078960792,0.1,-0.028292552023659955
WF3,0.75,TOUCH_FILL,3008,2001,0.6652260638297872,0.0834441489361702,0.0,0.04454787234042553,0.023936170212765957,0.0,1.052618053324767,1.8538255930577203,0.4598003152916448,1.1750426289750486,0.09455797298284278,0.10765133434210014,0.05849196229599396,0.08206798179954009,0.025912175061951405,-0.017882839021642172,0.1,-0.00803064408698477
WF1,0.75,STRICT_TRADE_THROUGH,3160,2017,0.6382911392405063,0.07816455696202532,0.0,0.013924050632911392,0.03354430379746835,0.0,1.117655506687016,1.802213691705303,0.45800730307772564,1.1050156809554519,0.05691773214017446,0.06675080464930312,0.031047877377441274,0.06114281408630192,-0.0005976922428118899,-0.010973863658002382,0.1,-0.03278123654660936
WF2,0.75,STRICT_TRADE_THROUGH,2847,1861,0.6536705303828592,0.09027046013347383,0.0,0.012996136283807516,0.032665964172813484,0.0,1.1578947368421053,1.8788534532108132,0.4554945054945055,1.127700408061191,0.06953357383991218,0.07249008628399795,0.03707450101462597,0.06451772287912759,0.022673377024460886,-0.0104444078960792,0.1,-0.028292552023659955
WF3,0.75,STRICT_TRADE_THROUGH,3008,1981,0.6585771276595744,0.08577127659574468,0.0,0.05053191489361702,0.022273936170212765,0.0,1.0769363193890167,1.8649697181769302,0.45406266595857675,1.1604511892863325,0.08759629452275616,0.10082872504143206,0.05350526016833437,0.07583460413996561,0.02092547293429182,-0.02286954114930176,0.1,-0.012352452597623076
WF1,1.0,TOUCH_FILL,3160,1879,0.5946202531645569,0.10031645569620253,0.0,0.040822784810126585,0.028164556962025317,0.0,1.25,1.9595947433828875,0.426890756302521,1.120559657212124,0.0690938539652675,0.079794134077312,0.034282445989874205,0.06595966117974744,0.004535610546836228,-0.007739295045569451,0.1,-0.02517957932658149
WF2,1.0,TOUCH_FILL,2847,1745,0.6129258868984896,0.11801896733403583,0.0,0.035475939585528624,0.023182297154899896,0.0,1.25,2.034776005611257,0.42194835680751175,1.1269071359560012,0.07335887847221902,0.07688000523278239,0.03617967295983884,0.06041571089450692,0.021778548969673756,-0.011339235950866326,0.1,-0.02511291573001012
WF3,1.0,TOUCH_FILL,3008,1811,0.602061170212766,0.10538563829787234,0.0,0.08809840425531915,0.020611702127659573,0.0,1.2,2.0583746820487048,0.42117510180337403,1.1736692787302696,0.10052410258092964,0.11235268509014043,0.054787543994886306,0.07916697661899978,0.024202437611907587,-0.021587257322749825,0.1,-0.005418573026390289
WF1,1.0,STRICT_TRADE_THROUGH,3160,1805,0.5712025316455697,0.11170886075949367,0.0,0.06107594936708861,0.019620253164556962,0.0,1.25,1.998935469704402,0.4091174751607247,1.0725346481978266,0.04285945606546025,0.05285361153010048,0.017826749787342555,0.040643205483544914,-0.011920085655695419,-0.0241949912481011,0.1,-0.03929350337721441
WF2,1.0,STRICT_TRADE_THROUGH,2847,1700,0.597119775201967,0.1282051282051282,0.0,0.04495960660344222,0.01931858096241658,0.0,1.25,2.062167135171555,0.4110910186859554,1.0982635915216592,0.057868311583279805,0.06148494811130873,0.02529101823556768,0.04566333997775244,0.010889894245402593,-0.02222789067513749,0.1,-0.03442095928462903
WF3,1.0,STRICT_TRADE_THROUGH,3008,1762,0.5857712765957447,0.11402925531914894,0.0,0.10039893617021277,0.015957446808510637,0.0,1.2391304347826086,2.087807349143135,0.40933572710951527,1.14265545322859,0.08426147955512749,0.09642984181325634,0.044149246122545886,0.06387442342751043,0.013896586548077799,-0.032225555195090246,0.1,-0.014427881537028585
WF1,1.25,TOUCH_FILL,3160,1622,0.5132911392405063,0.12278481012658228,0.0,0.10031645569620253,0.02721518987341772,0.0,1.4,2.204558789463082,0.37491835401698237,1.0737353940360685,0.04609064147127202,0.05807627177826125,0.014102775978644769,0.04910277597864491,-0.01469469237578561,-0.02791896505679889,0.1,-0.03722633794540586
WF2,1.25,TOUCH_FILL,2847,1582,0.5556726378644187,0.13628380751668423,0.0,0.07165437302423604,0.02599227256761503,0.0,1.3333333333333333,2.2419208314112944,0.3900064892926671,1.1315563424645487,0.08024851519576634,0.0846287877460583,0.027630123609650833,0.057222677174807106,0.013228999619485749,-0.019888785301054337,0.1,-0.027937140176791036
WF3,1.25,TOUCH_FILL,3008,1674,0.5565159574468085,0.11735372340425532,0.0,0.12267287234042554,0.018617021276595744,0.0,1.2727272727272727,2.2519871375239755,0.40364092906465787,1.2302657209562318,0.137321051417715,0.14678955947379368,0.06507727224349069,0.0889580346548382,0.038149080754129,-0.01129752907414544,0.1,0.009425676498809842
WF1,1.25,STRICT_TRADE_THROUGH,3160,1606,0.5082278481012659,0.1259493670886076,0.0,0.10443037974683544,0.025,0.0,1.4210526315789473,2.2140687151364378,0.3702970297029703,1.060078377455469,0.037831532734334976,0.04994374395545739,0.009909738003961225,0.042140750662189225,-0.018887730350469156,-0.03211200303148243,0.1,-0.040913046806165365
WF2,1.25,STRICT_TRADE_THROUGH,2847,1566,0.5500526870389885,0.14014752370916755,0.0,0.07446434843695118,0.024938531787846857,0.0,1.3333333333333333,2.2520553992928916,0.3862295081967213,1.120366412304141,0.0738773520765088,0.07830358158470548,0.023063913563988733,0.05116366769114009,0.008662789573823647,-0.024454995346716437,0.1,-0.031941355139910116
WF3,1.25,STRICT_TRADE_THROUGH,3008,1654,0.5498670212765957,0.12034574468085106,0.0,0.12599734042553193,0.018949468085106384,0.0,1.3,2.264103064217131,0.399746192893401,1.2182901003260256,0.13102946377437819,0.14060010675238158,0.06000745841370346,0.08405444422930629,0.034076607349873674,-0.016367342903932672,0.1,0.005020756286043884
WF1,1.5,TOUCH_FILL,3160,1517,0.4800632911392405,0.1319620253164557,0.0,0.12531645569620253,0.026265822784810128,0.0,1.5000000000002676,2.3825257685156878,0.3587946741415557,1.1144320422872576,0.07337443496344828,0.0871095435829301,0.021109278067354655,0.057375100852164955,-0.007371734590873195,-0.020912462968089,0.1,-0.026897051046569396
WF2,1.5,TOUCH_FILL,2847,1416,0.49736564805057953,0.1475237091675448,0.0,0.11239901650860555,0.032314717246224096,0.0,1.500000000000142,2.4712466741865415,0.351409978308026,1.0944727709778568,0.061274096577829,0.06669709007023672,0.0069343433674525804,0.045044634902401605,-0.004656805209997367,-0.04058456554325259,0.1,-0.04280222143760538
WF3,1.5,TOUCH_FILL,3008,1453,0.48304521276595747,0.13164893617021275,0.0,0.17885638297872342,0.02160904255319149,0.0,1.5000000000001894,2.5216049259345734,0.3745506829618979,1.2530382348261184,0.15826259115652266,0.16964528945510904,0.059888053290798875,0.08792440080852945,0.0392763511631393,-0.016486748026837257,0.1,0.011583532014203125
WF1,1.5,STRICT_TRADE_THROUGH,3160,1490,0.47151898734177217,0.13354430379746834,0.0,0.13291139240506328,0.025632911392405065,0.0,1.5555555555555556,2.3985178462002,0.35428571428571426,1.1014439366071245,0.06550379906631479,0.07950379906631518,0.01699535401672174,0.05231180971292446,-0.011485658641506108,-0.025026387018721917,0.1,-0.030156544717455477
WF2,1.5,STRICT_TRADE_THROUGH,2847,1387,0.48717948717948717,0.1510361784334387,0.0,0.12118018967334036,0.02985598876009835,0.0,1.500000000000142,2.491553922601401,0.34933530280649927,1.0922157497924376,0.060001532915168,0.06369429510128317,0.0057049791243897075,0.03977593100356073,-0.00588616945306024,-0.041813929786315464,0.1,-0.04301296959355901
WF3,1.5,STRICT_TRADE_THROUGH,3008,1431,0.4757313829787234,0.13430851063829788,0.0,0.18617021276595744,0.018949468085106384,0.0,1.5000000000002067,2.53731094156739,0.36888239590942296,1.2339621114568553,0.14765760723062313,0.15922322690435106,0.05390401073760739,0.07795099655321029,0.03329230860994781,-0.022470790580028745,0.1,0.006330872439735041
WF1,2.0,TOUCH_FILL,3160,1288,0.40759493670886077,0.14208860759493672,0.0,0.18449367088607596,0.029430379746835444,0.0,2.000000000000124,2.783809518300134,0.3100581878636742,1.1119684040917137,0.07725168362104948,0.09603805103584605,0.012320814998772947,0.056814485884848984,-0.014577919178442242,-0.02970092603667071,0.1,-0.02843867867211313
WF2,2.0,TOUCH_FILL,2847,1173,0.41201264488935724,0.1703547593958553,0.0,0.16649104320337196,0.04039339655778012,0.0,2.0000000000000684,2.936350324070281,0.31523642732049034,1.148252209321412,0.10151771251256059,0.10677165296790211,0.004894003403352366,0.050556103859973375,-0.005994651320918797,-0.0426249055073528,0.1,-0.03630726108558336
WF3,2.0,TOUCH_FILL,3008,1251,0.4158909574468085,0.1379654255319149,0.0,0.23404255319148937,0.025930851063829786,0.0,2.0000000000000973,2.9471006138678213,0.3389121338912134,1.3164166372654624,0.20917919953114256,0.21420012003323471,0.06115995460096919,0.09174506098394797,0.04254293332437344,-0.015214846716666945,0.1,0.019570858856288335
WF1,2.0,STRICT_TRADE_THROUGH,3160,1217,0.385126582278481,0.1468354430379747,0.0,0.20126582278481012,0.030379746835443037,0.0,2.0000000000001408,2.829537107288885,0.299469964664311,1.0781005994906967,0.05471181572095629,0.07467648003191059,-0.0006538685455308503,0.04257397955573506,-0.02755260272274604,-0.04267560958097451,0.1,-0.03916652677337896
WF2,2.0,STRICT_TRADE_THROUGH,2847,1109,0.3895328415876361,0.17140850017562345,0.0,0.1882683526519143,0.040042149631190724,0.0,2.000000000000092,2.9903867719877724,0.31261595547309834,1.1497074597696952,0.10290651919234153,0.10847238190106144,0.0024352749172266122,0.04669238766749006,-0.008453379807044551,-0.045083633993478554,0.1,-0.036518009241537
WF3,2.0,STRICT_TRADE_THROUGH,3008,1207,0.40126329787234044,0.140625,0.0,0.2473404255319149,0.024601063829787235,0.0,2.0000000000000973,2.9816262369085704,0.32523850823937556,1.2596004414392228,0.17516838112724664,0.18037219725907674,0.04520250779245856,0.07312803970735221,0.02725038013288409,-0.031172293525177572,0.1,0.005076178005224516
WF1,3.0,TOUCH_FILL,3160,910,0.2879746835443038,0.15253164556962026,0.0,0.2759493670886076,0.04715189873417722,0.0,3.0,3.666660596054551,0.2850521436848204,1.3535739016654518,0.25278690304470885,0.2859271116194481,0.029163005483412573,0.09327692953404548,0.014289587761893586,-0.012858735552031084,0.1,0.0003655371289821921
WF2,3.0,TOUCH_FILL,2847,840,0.2950474183350896,0.17597471022128555,0.0,0.25851773796979277,0.0593607305936073,0.0,3.0,3.9080221164363858,0.2709599027946537,1.290528679627544,0.21180705683660542,0.21666732415130777,0.00467762830225721,0.07000955664788419,-0.0012935694497624595,-0.04284128060844796,0.1,-0.02482711353125175
WF3,3.0,TOUCH_FILL,3008,906,0.3011968085106383,0.14627659574468085,0.0,0.32413563829787234,0.04222074468085106,0.0,3.0,3.8868394273636917,0.30192962542565266,1.5369728792585822,0.3748448589603041,0.38392544919866955,0.0688957183324561,0.11444093109841354,0.060584548119690135,-0.007479082985180033,0.1,0.03877603748139227
WF1,3.0,STRICT_TRADE_THROUGH,3160,859,0.2718354430379747,0.1550632911392405,0.0,0.2908227848101266,0.04588607594936709,0.0,3.0,3.7062411436666367,0.2684729064039409,1.2645708709218582,0.19354076025564498,0.22876243513249225,0.008909840926450545,0.06732756244543789,-0.0059635767950684425,-0.03311190010899311,0.1,-0.018273703377346927
WF2,3.0,STRICT_TRADE_THROUGH,2847,756,0.2655426765015806,0.17667720407446436,0.0,0.2813487881981033,0.06533192834562697,0.0,3.0,4.0089134627070955,0.26450742240215924,1.2721416656450026,0.20015817513701253,0.20555628579828109,-0.010777236467676055,0.05982339577679181,-0.01604594036651694,-0.05829614537838122,0.1,-0.03733150411783411
WF3,3.0,STRICT_TRADE_THROUGH,3008,871,0.28956117021276595,0.14760638297872342,0.0,0.3351063829787234,0.041555851063829786,0.0,3.0,3.9224759141119456,0.30260047281323876,1.5512513910915728,0.38444245950830724,0.39389872428372097,0.0672334842899029,0.11078401620479653,0.058922314077136946,-0.009141317027733228,0.1,0.03827736726862631
